Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,4649660,4525696,7.462899685,20.29999924,0,1.149162412,9.363723755,0,0,0.122432113,32.62,,,,,
Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,27691019,26969307,0.942499995,19.60000038,1,0.603192806,9.141643524,0,0,0.311765283,42.65,,,,,
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,8278737,8082366,0.821399987,19.39999962,0,0.966353893,9.32930088,0,1,0.212305546,43.06,,,,,
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,18383956,17861030,2.110499859,17.70000076,0,0.666666746,9.251139641,0,0,0.321514994,57.14,,,,,
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.63,51.651,0.717,0.084,0.866,7976985,7813215,0.952700019,19.10000038,0,0.962472737,9.401023865,0,0,0.338491887,34.03,,,,,
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,1380004385,1366417754,10.77810001,28.20000076,0,0.936680675,8.532171249,0,0,0.526049078,39.334375,,,,,
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,11890781,11530580,0.016799999,17.5,0,0.780524492,9.186073303,0,0,0.293120295,38.62,,,,,
Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,29825968,29161922,2.045199871,20.29999924,0,1.004569411,8.966309547,0,0,0.26690653,36.71,,,,,
Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,59734213,58005463,0.0352,17.70000076,0,0.731802583,9.153142929,0,0,0.620562732,37.78,,,,,
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.422,0.721,11402533,11263077,2.069700003,24.29999924,1,1.07871139,9.501391411,0,0,0.216442481,50.945,,,,,
Malawi,Sub-Saharan Africa,3.6,6.958,0.537,57.948,0.78,0.038,0.729,19129955,18628747,0.988000035,18.10000038,0,0.667233646,9.206979752,0,0,0.322657019,44.69,,,,,
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,2142252,2125268,2.380699873,24,0,0.586334825,9.31656456,0,0,0.278961003,54.18,,,,,
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,2351625,2303697,1.786000013,25.79999924,0,0.627863944,9.306539536,0,0,0.435331315,53.33,,,,,
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.167,12952209,12626950,0.710300028,20.29999924,0,0.800541401,9.173509598,0,0,0.9057284,43.71,,,,,
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,14862927,14645468,2.442300081,19.60000038,0,0.645424485,9.244179726,0,0,0.286512464,40.3625,,,,,
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,38928341,38041754,5.62830019,18.60000038,0,1.106934905,8.623236656,0,0,0.04644781,31,,,,,
